title,number,score,platform,release_date,web_page
The Legend of Zelda: The Minish Cap,223,8.9,Game Boy Advance,"January 10, 2005",https://www.metacritic.com/game/game-boy-advance/the-legend-of-zelda-the-minish-cap
Vampire: The Masquerade - Bloodlines,224,8.9,PC,"November 16, 2004",https://www.metacritic.com/game/pc/vampire-the-masquerade---bloodlines
Ace Combat 5: The Unsung War,225,8.9,PlayStation 2,"October 25, 2004",https://www.metacritic.com/game/playstation-2/ace-combat-5-the-unsung-war
Counter-Strike: Source,226,8.9,PC,"October 7, 2004",https://www.metacritic.com/game/pc/counter-strike-source
Shadow Hearts: Covenant,227,8.9,PlayStation 2,"September 27, 2004",https://www.metacritic.com/game/playstation-2/shadow-hearts-covenant
Rise of Nations: Thrones & Patriots,228,8.9,PC,"April 27, 2004",https://www.metacritic.com/game/pc/rise-of-nations-thrones-patriots
Metal Gear Solid: The Twin Snakes,229,8.9,GameCube,"March 9, 2004",https://www.metacritic.com/game/gamecube/metal-gear-solid-the-twin-snakes
Final Fantasy Crystal Chronicles,230,8.9,GameCube,"February 9, 2004",https://www.metacritic.com/game/gamecube/final-fantasy-crystal-chronicles
Metroid: Zero Mission,231,8.9,Game Boy Advance,"February 9, 2004",https://www.metacritic.com/game/game-boy-advance/metroid-zero-mission
Mario & Luigi: Superstar Saga,232,8.9,Game Boy Advance,"November 17, 2003",https://www.metacritic.com/game/game-boy-advance/mario-luigi-superstar-saga
The Legend of Zelda Collector's Edition,233,8.9,GameCube,"November 17, 2003",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-collectors-edition
Beyond Good & Evil,234,8.9,PlayStation 2,"November 11, 2003",https://www.metacritic.com/game/playstation-2/beyond-good-evil
Ratchet & Clank: Going Commando,235,8.9,PlayStation 2,"November 11, 2003",https://www.metacritic.com/game/playstation-2/ratchet-clank-going-commando
WWE SmackDown! Here Comes the Pain,236,8.9,PlayStation 2,"October 27, 2003",https://www.metacritic.com/game/playstation-2/wwe-smackdown!-here-comes-the-pain
Super Mario Advance 4: Super Mario Bros. 3,237,8.9,Game Boy Advance,"October 21, 2003",https://www.metacritic.com/game/game-boy-advance/super-mario-advance-4-super-mario-bros-3
Max Payne 2: The Fall of Max Payne,238,8.9,PC,"October 14, 2003",https://www.metacritic.com/game/pc/max-payne-2-the-fall-of-max-payne
SoulCalibur II,239,8.9,GameCube,"August 27, 2003",https://www.metacritic.com/game/gamecube/soulcalibur-ii
Advance Wars 2: Black Hole Rising,240,8.9,Game Boy Advance,"June 24, 2003",https://www.metacritic.com/game/game-boy-advance/advance-wars-2-black-hole-rising
Mega Man Battle Network 3 White,241,8.9,Game Boy Advance,"June 24, 2003",https://www.metacritic.com/game/game-boy-advance/mega-man-battle-network-3-white
Castlevania: Aria of Sorrow,242,8.9,Game Boy Advance,"May 6, 2003",https://www.metacritic.com/game/game-boy-advance/castlevania-aria-of-sorrow
Golden Sun: The Lost Age,243,8.9,Game Boy Advance,"April 14, 2003",https://www.metacritic.com/game/game-boy-advance/golden-sun-the-lost-age
Freelancer,244,8.9,PC,"March 3, 2003",https://www.metacritic.com/game/pc/freelancer
Metal Gear Solid 2: Substance,245,8.9,PlayStation 2,"March 3, 2003",https://www.metacritic.com/game/playstation-2/metal-gear-solid-2-substance
The Legend of Zelda: Ocarina of Time / Master Quest,246,8.9,GameCube,"February 28, 2003",https://www.metacritic.com/game/gamecube/the-legend-of-zelda-ocarina-of-time-master-quest
Seek and Destroy,247,8.9,PlayStation 2,"December 11, 2002",https://www.metacritic.com/game/playstation-2/seek-and-destroy
Silent Hill 2,248,8.9,PC,"December 2, 2002",https://www.metacritic.com/game/pc/silent-hill-2
Age of Mythology,249,8.9,PC,"November 1, 2002",https://www.metacritic.com/game/pc/age-of-mythology
Shenmue II,250,8.9,Xbox,"October 28, 2002",https://www.metacritic.com/game/xbox/shenmue-ii
Suikoden III,251,8.9,PlayStation 2,"October 24, 2002",https://www.metacritic.com/game/playstation-2/suikoden-iii
Yoshi's Island: Super Mario Advance 3,252,8.9,Game Boy Advance,"September 24, 2002",https://www.metacritic.com/game/game-boy-advance/yoshis-island-super-mario-advance-3
Final Fantasy X,253,8.9,PlayStation 2,"December 17, 2001",https://www.metacritic.com/game/playstation-2/final-fantasy-x
Original War,254,8.9,PC,"December 3, 2001",https://www.metacritic.com/game/pc/original-war
Stronghold,255,8.9,PC,"October 21, 2001",https://www.metacritic.com/game/pc/stronghold
Command & Conquer: Red Alert 2 - Yuri's Revenge,256,8.9,PC,"October 10, 2001",https://www.metacritic.com/game/pc/command-conquer-red-alert-2---yuris-revenge
Advance Wars,257,8.9,Game Boy Advance,"September 9, 2001",https://www.metacritic.com/game/game-boy-advance/advance-wars
Final Fantasy Chronicles,258,8.9,PlayStation,"June 29, 2001",https://www.metacritic.com/game/playstation/final-fantasy-chronicles
Unreal Tournament,259,8.9,Dreamcast,"March 13, 2001",https://www.metacritic.com/game/dreamcast/unreal-tournament
Conker's Bad Fur Day,260,8.9,Nintendo 64,"March 4, 2001",https://www.metacritic.com/game/nintendo-64/conkers-bad-fur-day
Mega Man X5,261,8.9,PlayStation,"February 1, 2001",https://www.metacritic.com/game/playstation/mega-man-x5
Skies of Arcadia,262,8.9,Dreamcast,"November 13, 2000",https://www.metacritic.com/game/dreamcast/skies-of-arcadia
Spyro: Year of the Dragon,263,8.9,PlayStation,"October 23, 2000",https://www.metacritic.com/game/playstation/spyro-year-of-the-dragon
Command & Conquer: Red Alert 2,264,8.9,PC,"October 21, 2000",https://www.metacritic.com/game/pc/command-conquer-red-alert-2
Ogre Battle 64,265,8.9,Nintendo 64,"October 7, 2000",https://www.metacritic.com/game/nintendo-64/ogre-battle-64
Metal Gear Solid,266,8.9,PC,"September 24, 2000",https://www.metacritic.com/game/pc/metal-gear-solid
Valkyrie Profile,267,8.9,PlayStation,"August 29, 2000",https://www.metacritic.com/game/playstation/valkyrie-profile
The Legend of Dragoon,268,8.9,PlayStation,"June 11, 2000",https://www.metacritic.com/game/playstation/the-legend-of-dragoon
Thief II: The Metal Age,269,8.9,PC,"March 23, 2000",https://www.metacritic.com/game/pc/thief-ii-the-metal-age
Silent Hill,270,8.9,PlayStation,"January 31, 1999",https://www.metacritic.com/game/playstation/silent-hill
Baldur's Gate,271,8.9,PC,"December 21, 1998",https://www.metacritic.com/game/pc/baldurs-gate
Master of Orion II: Battle at Antares,272,8.9,PC,"October 1, 1996",https://www.metacritic.com/game/pc/master-of-orion-ii-battle-at-antares
Tales of Arise,273,8.8,PlayStation 4,"September 10, 2021",https://www.metacritic.com/game/playstation-4/tales-of-arise
Tales of Arise,274,8.8,Xbox Series X,"September 10, 2021",https://www.metacritic.com/game/xbox-series-x/tales-of-arise
Hoa,275,8.8,PC,"August 24, 2021",https://www.metacritic.com/game/pc/hoa
ALTDEUS: Beyond Chronos,276,8.8,PC,"December 4, 2020",https://www.metacritic.com/game/pc/altdeus-beyond-chronos
Yakuza: Like a Dragon,277,8.8,Xbox One,"November 10, 2020",https://www.metacritic.com/game/xbox-one/yakuza-like-a-dragon
Tony Hawk's Pro Skater 1 + 2,278,8.8,PlayStation 4,"September 4, 2020",https://www.metacritic.com/game/playstation-4/tony-hawks-pro-skater-1-+-2
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,279,8.8,Xbox One,"June 23, 2020",https://www.metacritic.com/game/xbox-one/spongebob-squarepants-battle-for-bikini-bottom---rehydrated
DOOM Eternal,280,8.8,PC,"March 20, 2020",https://www.metacritic.com/game/pc/doom-eternal
Ori and the Will of the Wisps,281,8.8,Xbox One,"March 11, 2020",https://www.metacritic.com/game/xbox-one/ori-and-the-will-of-the-wisps
Age of Empires II: Definitive Edition,282,8.8,PC,"November 14, 2019",https://www.metacritic.com/game/pc/age-of-empires-ii-definitive-edition
AI: The Somnium Files,283,8.8,Switch,"September 17, 2019",https://www.metacritic.com/game/switch/ai-the-somnium-files
Pathologic 2,284,8.8,PC,"May 28, 2019",https://www.metacritic.com/game/pc/pathologic-2
Detroit: Become Human,285,8.8,PlayStation 4,"May 25, 2018",https://www.metacritic.com/game/playstation-4/detroit-become-human
The Evil Within 2,286,8.8,PC,"October 12, 2017",https://www.metacritic.com/game/pc/the-evil-within-2
Divinity: Original Sin II,287,8.8,PC,"September 14, 2017",https://www.metacritic.com/game/pc/divinity-original-sin-ii
Final Fantasy XV: Episode Prompto,288,8.8,PlayStation 4,"June 27, 2017",https://www.metacritic.com/game/playstation-4/final-fantasy-xv-episode-prompto
Vanquish,289,8.8,PC,"May 25, 2017",https://www.metacritic.com/game/pc/vanquish
OneShot,290,8.8,PC,"December 8, 2016",https://www.metacritic.com/game/pc/oneshot
Uncharted 4: A Thief's End,291,8.8,PlayStation 4,"May 10, 2016",https://www.metacritic.com/game/playstation-4/uncharted-4-a-thiefs-end
Final Fantasy IX,292,8.8,PC,"April 14, 2016",https://www.metacritic.com/game/pc/final-fantasy-ix
Dark Souls III,293,8.8,Xbox One,"April 12, 2016",https://www.metacritic.com/game/xbox-one/dark-souls-iii
Stardew Valley,294,8.8,PC,"February 26, 2016",https://www.metacritic.com/game/pc/stardew-valley
Bloodborne: The Old Hunters,295,8.8,PlayStation 4,"November 24, 2015",https://www.metacritic.com/game/playstation-4/bloodborne-the-old-hunters
The Legend of Heroes: Trails in the Sky SC,296,8.8,PC,"October 29, 2015",https://www.metacritic.com/game/pc/the-legend-of-heroes-trails-in-the-sky-sc
Super Mario Maker,297,8.8,Wii U,"September 11, 2015",https://www.metacritic.com/game/wii-u/super-mario-maker
Steins;Gate,298,8.8,PlayStation Vita,"June 5, 2015",https://www.metacritic.com/game/playstation-vita/steinsgate
Xenoblade Chronicles 3D,299,8.8,3DS,"April 10, 2015",https://www.metacritic.com/game/3ds/xenoblade-chronicles-3d
Bloodborne,300,8.8,PlayStation 4,"March 24, 2015",https://www.metacritic.com/game/playstation-4/bloodborne
Cities: Skylines,301,8.8,PC,"March 10, 2015",https://www.metacritic.com/game/pc/cities-skylines
Bayonetta,302,8.8,Wii U,"October 24, 2014",https://www.metacritic.com/game/wii-u/bayonetta
Danganronpa 2: Goodbye Despair,303,8.8,PlayStation Vita,"September 2, 2014",https://www.metacritic.com/game/playstation-vita/danganronpa-2-goodbye-despair
Mario Kart 8,304,8.8,Wii U,"May 30, 2014",https://www.metacritic.com/game/wii-u/mario-kart-8
The Wolf Among Us,305,8.8,PC,"October 11, 2013",https://www.metacritic.com/game/pc/the-wolf-among-us
Killzone: Mercenary,306,8.8,PlayStation Vita,"September 10, 2013",https://www.metacritic.com/game/playstation-vita/killzone-mercenary
Kingdom Hearts HD 1.5 ReMIX,307,8.8,PlayStation 3,"September 10, 2013",https://www.metacritic.com/game/playstation-3/kingdom-hearts-hd-15-remix
Rayman Legends,308,8.8,Wii U,"September 3, 2013",https://www.metacritic.com/game/wii-u/rayman-legends
Crusader Kings II: The Old Gods,309,8.8,PC,"May 28, 2013",https://www.metacritic.com/game/pc/crusader-kings-ii-the-old-gods
The Walking Dead: Episode 5 - No Time Left,310,8.8,PC,"November 21, 2012",https://www.metacritic.com/game/pc/the-walking-dead-episode-5---no-time-left
The Walking Dead: Episode 5 - No Time Left,311,8.8,Xbox 360,"November 21, 2012",https://www.metacritic.com/game/xbox-360/the-walking-dead-episode-5---no-time-left
Zero Escape: Virtue's Last Reward,312,8.8,PlayStation Vita,"October 23, 2012",https://www.metacritic.com/game/playstation-vita/zero-escape-virtues-last-reward
The Walking Dead: A Telltale Games Series,313,8.8,PC,"April 24, 2012",https://www.metacritic.com/game/pc/the-walking-dead-a-telltale-games-series
Journey,314,8.8,PlayStation 3,"March 13, 2012",https://www.metacritic.com/game/playstation-3/journey
Metal Gear Solid HD Collection,315,8.8,Xbox 360,"November 8, 2011",https://www.metacritic.com/game/xbox-360/metal-gear-solid-hd-collection
Batman: Arkham City,316,8.8,PlayStation 3,"October 18, 2011",https://www.metacritic.com/game/playstation-3/batman-arkham-city
Portal 2,317,8.8,Xbox 360,"April 19, 2011",https://www.metacritic.com/game/xbox-360/portal-2
"Nine Hours, Nine Persons, Nine Doors",318,8.8,DS,"November 16, 2010",https://www.metacritic.com/game/ds/nine-hours-nine-persons-nine-doors
The Sly Collection,319,8.8,PlayStation 3,"November 9, 2010",https://www.metacritic.com/game/playstation-3/the-sly-collection
Fallout: New Vegas,320,8.8,PC,"October 19, 2010",https://www.metacritic.com/game/pc/fallout-new-vegas
Monkey Island 2 Special Edition: LeChuck's Revenge,321,8.8,PC,"July 7, 2010",https://www.metacritic.com/game/pc/monkey-island-2-special-edition-lechucks-revenge
Mega Man Zero Collection,322,8.8,DS,"June 8, 2010",https://www.metacritic.com/game/ds/mega-man-zero-collection
Phoenix Wright: Ace Attorney - Trials and Tribulations,323,8.8,Wii,"May 10, 2010",https://www.metacritic.com/game/wii/phoenix-wright-ace-attorney---trials-and-tribulations
Mega Man 10,324,8.8,Xbox 360,"March 31, 2010",https://www.metacritic.com/game/xbox-360/mega-man-10
God of War III,325,8.8,PlayStation 3,"March 16, 2010",https://www.metacritic.com/game/playstation-3/god-of-war-iii
No More Heroes 2: Desperate Struggle,326,8.8,Wii,"January 26, 2010",https://www.metacritic.com/game/wii/no-more-heroes-2-desperate-struggle
Final Fantasy Crystal Chronicles: The Crystal Bearers,327,8.8,Wii,"December 26, 2009",https://www.metacritic.com/game/wii/final-fantasy-crystal-chronicles-the-crystal-bearers
Assassin's Creed II,328,8.8,Xbox 360,"November 17, 2009",https://www.metacritic.com/game/xbox-360/assassins-creed-ii
God of War Collection,329,8.8,PlayStation 3,"November 17, 2009",https://www.metacritic.com/game/playstation-3/god-of-war-collection
Harvest Moon: Animal Parade,330,8.8,Wii,"November 12, 2009",https://www.metacritic.com/game/wii/harvest-moon-animal-parade
Dragon Age: Origins,331,8.8,PC,"November 3, 2009",https://www.metacritic.com/game/pc/dragon-age-origins
Football Manager 2010,332,8.8,PC,"November 3, 2009",https://www.metacritic.com/game/pc/football-manager-2010
Ratchet & Clank Future: A Crack in Time,333,8.8,PlayStation 3,"October 27, 2009",https://www.metacritic.com/game/playstation-3/ratchet-clank-future-a-crack-in-time
WWE SmackDown vs. Raw 2010,334,8.8,DS,"October 20, 2009",https://www.metacritic.com/game/ds/wwe-smackdown-vs-raw-2010
Uncharted 2: Among Thieves,335,8.8,PlayStation 3,"October 13, 2009",https://www.metacritic.com/game/playstation-3/uncharted-2-among-thieves
Mario & Luigi: Bowser's Inside Story,336,8.8,DS,"September 14, 2009",https://www.metacritic.com/game/ds/mario-luigi-bowsers-inside-story
Batman: Arkham Asylum,337,8.8,PlayStation 3,"August 25, 2009",https://www.metacritic.com/game/playstation-3/batman-arkham-asylum
Ice Age: Dawn of the Dinosaurs,338,8.8,Wii,"June 30, 2009",https://www.metacritic.com/game/wii/ice-age-dawn-of-the-dinosaurs
Mega Man Star Force 3: Red Joker,339,8.8,DS,"June 30, 2009",https://www.metacritic.com/game/ds/mega-man-star-force-3-red-joker
Garou: Mark of the Wolves,340,8.8,Xbox 360,"June 24, 2009",https://www.metacritic.com/game/xbox-360/garou-mark-of-the-wolves
Dawn of Discovery,341,8.8,PC,"June 17, 2009",https://www.metacritic.com/game/pc/dawn-of-discovery
Plants vs. Zombies,342,8.8,PC,"May 5, 2009",https://www.metacritic.com/game/pc/plants-vs-zombies
The King of Fighters '98 Ultimate Match,343,8.8,PlayStation 2,"March 3, 2009",https://www.metacritic.com/game/playstation-2/the-king-of-fighters-98-ultimate-match
Mushroom Men: The Spore Wars,344,8.8,Wii,"December 2, 2008",https://www.metacritic.com/game/wii/mushroom-men-the-spore-wars
Valkyria Chronicles,345,8.8,PlayStation 3,"November 4, 2008",https://www.metacritic.com/game/playstation-3/valkyria-chronicles
Dead Space,346,8.8,Xbox 360,"October 13, 2008",https://www.metacritic.com/game/xbox-360/dead-space
Dead Space,347,8.8,PlayStation 3,"October 13, 2008",https://www.metacritic.com/game/playstation-3/dead-space
Kirby Super Star Ultra,348,8.8,DS,"September 22, 2008",https://www.metacritic.com/game/ds/kirby-super-star-ultra
Castle Crashers,349,8.8,Xbox 360,"August 27, 2008",https://www.metacritic.com/game/xbox-360/castle-crashers
MLB Power Pros 2008,350,8.8,Wii,"July 29, 2008",https://www.metacritic.com/game/wii/mlb-power-pros-2008
Final Fantasy Tactics A2: Grimoire of the Rift,351,8.8,DS,"June 24, 2008",https://www.metacritic.com/game/ds/final-fantasy-tactics-a2-grimoire-of-the-rift
Metal Gear Solid 4: Guns of the Patriots,352,8.8,PlayStation 3,"June 12, 2008",https://www.metacritic.com/game/playstation-3/metal-gear-solid-4-guns-of-the-patriots
Okami,353,8.8,Wii,"April 15, 2008",https://www.metacritic.com/game/wii/okami
Super Smash Bros. Brawl,354,8.8,Wii,"March 9, 2008",https://www.metacritic.com/game/wii/super-smash-bros-brawl
Savage 2: A Tortured Soul,355,8.8,PC,"January 16, 2008",https://www.metacritic.com/game/pc/savage-2-a-tortured-soul
Star Trek: Conquest,356,8.8,PlayStation 2,"November 20, 2007",https://www.metacritic.com/game/playstation-2/star-trek-conquest
Bee Movie Game,357,8.8,DS,"October 30, 2007",https://www.metacritic.com/game/ds/bee-movie-game
Mega Man ZX Advent,358,8.8,DS,"October 23, 2007",https://www.metacritic.com/game/ds/mega-man-zx-advent
Ratchet & Clank Future: Tools of Destruction,359,8.8,PlayStation 3,"October 23, 2007",https://www.metacritic.com/game/playstation-3/ratchet-clank-future-tools-of-destruction
RACE 07: Official WTCC Game,360,8.8,PC,"October 9, 2007",https://www.metacritic.com/game/pc/race-07-official-wtcc-game
Medieval II: Total War Kingdoms,361,8.8,PC,"August 28, 2007",https://www.metacritic.com/game/pc/medieval-ii-total-war-kingdoms
Metroid Prime 3: Corruption,362,8.8,Wii,"August 27, 2007",https://www.metacritic.com/game/wii/metroid-prime-3-corruption
Mega Man Star Force: Dragon,363,8.8,DS,"August 7, 2007",https://www.metacritic.com/game/ds/mega-man-star-force-dragon
Mega Man Star Force: Leo,364,8.8,DS,"August 7, 2007",https://www.metacritic.com/game/ds/mega-man-star-force-leo
Raw Danger!,365,8.8,PlayStation 2,"June 19, 2007",https://www.metacritic.com/game/playstation-2/raw-danger!
TrackMania United,366,8.8,PC,"November 17, 2006",https://www.metacritic.com/game/pc/trackmania-united
Bionicle Heroes,367,8.8,PlayStation 2,"November 14, 2006",https://www.metacritic.com/game/playstation-2/bionicle-heroes
Summon Night: Swordcraft Story 2,368,8.8,Game Boy Advance,"October 17, 2006",https://www.metacritic.com/game/game-boy-advance/summon-night-swordcraft-story-2
Samurai Warriors 2,369,8.8,Xbox 360,"September 19, 2006",https://www.metacritic.com/game/xbox-360/samurai-warriors-2
LocoRoco,370,8.8,PSP,"September 5, 2006",https://www.metacritic.com/game/psp/locoroco
Xenosaga Episode III: Also sprach Zarathustra,371,8.8,PlayStation 2,"August 29, 2006",https://www.metacritic.com/game/playstation-2/xenosaga-episode-iii-also-sprach-zarathustra
Mega Man Battle Network 6 Cybeast Falzar,372,8.8,Game Boy Advance,"June 13, 2006",https://www.metacritic.com/game/game-boy-advance/mega-man-battle-network-6-cybeast-falzar
Mega Man Battle Network 6 Cybeast Gregar,373,8.8,Game Boy Advance,"June 13, 2006",https://www.metacritic.com/game/game-boy-advance/mega-man-battle-network-6-cybeast-gregar
Hitman: Blood Money,374,8.8,PC,"May 30, 2006",https://www.metacritic.com/game/pc/hitman-blood-money
Harvest Moon: Magical Melody,375,8.8,GameCube,"March 28, 2006",https://www.metacritic.com/game/gamecube/harvest-moon-magical-melody
Suikoden V,376,8.8,PlayStation 2,"March 21, 2006",https://www.metacritic.com/game/playstation-2/suikoden-v
Midnight Club 3: DUB Edition Remix,377,8.8,PlayStation 2,"March 13, 2006",https://www.metacritic.com/game/playstation-2/midnight-club-3-dub-edition-remix
The Sims 2: Open for Business,378,8.8,PC,"February 28, 2006",https://www.metacritic.com/game/pc/the-sims-2-open-for-business
Fight Night Round 3,379,8.8,Xbox 360,"February 20, 2006",https://www.metacritic.com/game/xbox-360/fight-night-round-3
Drill Dozer,380,8.8,Game Boy Advance,"February 6, 2006",https://www.metacritic.com/game/game-boy-advance/drill-dozer
Mega Man Maverick Hunter X,381,8.8,PSP,"January 31, 2006",https://www.metacritic.com/game/psp/mega-man-maverick-hunter-x
Mega Man X Collection,382,8.8,PlayStation 2,"January 10, 2006",https://www.metacritic.com/game/playstation-2/mega-man-x-collection
Kong: The 8th Wonder of the World,383,8.8,Game Boy Advance,"November 21, 2005",https://www.metacritic.com/game/game-boy-advance/kong-the-8th-wonder-of-the-world
Need for Speed Most Wanted,384,8.8,Xbox,"November 15, 2005",https://www.metacritic.com/game/xbox/need-for-speed-most-wanted
Fatal Frame III: The Tormented,385,8.8,PlayStation 2,"November 8, 2005",https://www.metacritic.com/game/playstation-2/fatal-frame-iii-the-tormented
Gun,386,8.8,PlayStation 2,"November 8, 2005",https://www.metacritic.com/game/playstation-2/gun
Mega Man Battle Network 5: Double Team,387,8.8,DS,"November 1, 2005",https://www.metacritic.com/game/ds/mega-man-battle-network-5-double-team
Ratchet: Deadlocked,388,8.8,PlayStation 2,"October 25, 2005",https://www.metacritic.com/game/playstation-2/ratchet-deadlocked
SOCOM 3: U.S. Navy SEALs,389,8.8,PlayStation 2,"October 11, 2005",https://www.metacritic.com/game/playstation-2/socom-3-us-navy-seals
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,390,8.8,PlayStation 2,"October 10, 2005",https://www.metacritic.com/game/playstation-2/tim-burtons-the-nightmare-before-christmas-oogies-revenge
Dance Dance Revolution Extreme 2,391,8.8,PlayStation 2,"September 27, 2005",https://www.metacritic.com/game/playstation-2/dance-dance-revolution-extreme-2
Genji: Dawn of the Samurai,392,8.8,PlayStation 2,"September 20, 2005",https://www.metacritic.com/game/playstation-2/genji-dawn-of-the-samurai
Ninja Gaiden Black,393,8.8,Xbox,"September 20, 2005",https://www.metacritic.com/game/xbox/ninja-gaiden-black
We Love Katamari,394,8.8,PlayStation 2,"September 20, 2005",https://www.metacritic.com/game/playstation-2/we-love-katamari
Advance Wars: Dual Strike,395,8.8,DS,"August 22, 2005",https://www.metacritic.com/game/ds/advance-wars-dual-strike
Mobile Suit Gundam: Gundam vs. Zeta Gundam,396,8.8,PlayStation 2,"June 28, 2005",https://www.metacritic.com/game/playstation-2/mobile-suit-gundam-gundam-vs-zeta-gundam
Mega Man Battle Network 5: Team Protoman,397,8.8,Game Boy Advance,"June 21, 2005",https://www.metacritic.com/game/game-boy-advance/mega-man-battle-network-5-team-protoman
Grand Theft Auto: San Andreas,398,8.8,Xbox,"June 7, 2005",https://www.metacritic.com/game/xbox/grand-theft-auto-san-andreas
Knights of Honor,399,8.8,PC,"June 6, 2005",https://www.metacritic.com/game/pc/knights-of-honor
Haunting Ground,400,8.8,PlayStation 2,"May 10, 2005",https://www.metacritic.com/game/playstation-2/haunting-ground
Psychonauts,401,8.8,PC,"April 19, 2005",https://www.metacritic.com/game/pc/psychonauts
Psychonauts,402,8.8,Xbox,"April 19, 2005",https://www.metacritic.com/game/xbox/psychonauts
Midnight Club 3: DUB Edition,403,8.8,PlayStation 2,"April 11, 2005",https://www.metacritic.com/game/playstation-2/midnight-club-3-dub-edition
Obscure,404,8.8,PlayStation 2,"April 6, 2005",https://www.metacritic.com/game/playstation-2/obscure
Fight Night Round 2,405,8.8,PlayStation 2,"February 28, 2005",https://www.metacritic.com/game/playstation-2/fight-night-round-2
Ys: The Ark of Napishtim,406,8.8,PlayStation 2,"February 22, 2005",https://www.metacritic.com/game/playstation-2/ys-the-ark-of-napishtim
Oddworld: Stranger's Wrath,407,8.8,Xbox,"January 25, 2005",https://www.metacritic.com/game/xbox/oddworld-strangers-wrath
NFL Street 2,408,8.8,PlayStation 2,"December 22, 2004",https://www.metacritic.com/game/playstation-2/nfl-street-2
Growlanser Generations,409,8.8,PlayStation 2,"December 7, 2004",https://www.metacritic.com/game/playstation-2/growlanser-generations
Kingdom Hearts: Chain of Memories,410,8.8,Game Boy Advance,"December 7, 2004",https://www.metacritic.com/game/game-boy-advance/kingdom-hearts-chain-of-memories
Mega Man X8,411,8.8,PlayStation 2,"December 7, 2004",https://www.metacritic.com/game/playstation-2/mega-man-x8
Dragon Ball Z: Budokai 3,412,8.8,PlayStation 2,"November 16, 2004",https://www.metacritic.com/game/playstation-2/dragon-ball-z-budokai-3
Metroid Prime 2: Echoes,413,8.8,GameCube,"November 15, 2004",https://www.metacritic.com/game/gamecube/metroid-prime-2-echoes
Dead or Alive Ultimate,414,8.8,Xbox,"October 26, 2004",https://www.metacritic.com/game/xbox/dead-or-alive-ultimate
OutRun2,415,8.8,Xbox,"October 25, 2004",https://www.metacritic.com/game/xbox/outrun2
Otogi 2: Immortal Warriors,416,8.8,Xbox,"October 21, 2004",https://www.metacritic.com/game/xbox/otogi-2-immortal-warriors
Kirby & the Amazing Mirror,417,8.8,Game Boy Advance,"October 18, 2004",https://www.metacritic.com/game/game-boy-advance/kirby-the-amazing-mirror
BloodRayne 2,418,8.8,Xbox,"October 12, 2004",https://www.metacritic.com/game/xbox/bloodrayne-2
Mega Man Zero 3,419,8.8,Game Boy Advance,"October 5, 2004",https://www.metacritic.com/game/game-boy-advance/mega-man-zero-3
Armored Core: Nexus,420,8.8,PlayStation 2,"September 28, 2004",https://www.metacritic.com/game/playstation-2/armored-core-nexus
Katamari Damacy,421,8.8,PlayStation 2,"September 21, 2004",https://www.metacritic.com/game/playstation-2/katamari-damacy
Mega Man X: Command Mission,422,8.8,PlayStation 2,"September 21, 2004",https://www.metacritic.com/game/playstation-2/mega-man-x-command-mission
Monster Hunter,423,8.8,PlayStation 2,"September 21, 2004",https://www.metacritic.com/game/playstation-2/monster-hunter
Def Jam: Fight for NY,424,8.8,PlayStation 2,"September 20, 2004",https://www.metacritic.com/game/playstation-2/def-jam-fight-for-ny
Gradius V,425,8.8,PlayStation 2,"September 14, 2004",https://www.metacritic.com/game/playstation-2/gradius-v
Street Racing Syndicate,426,8.8,PlayStation 2,"August 31, 2004",https://www.metacritic.com/game/playstation-2/street-racing-syndicate
WWE Day of Reckoning,427,8.8,GameCube,"August 30, 2004",https://www.metacritic.com/game/gamecube/wwe-day-of-reckoning
Test Drive: Eve of Destruction,428,8.8,PlayStation 2,"August 25, 2004",https://www.metacritic.com/game/playstation-2/test-drive-eve-of-destruction
Test Drive: Eve of Destruction,429,8.8,Xbox,"August 25, 2004",https://www.metacritic.com/game/xbox/test-drive-eve-of-destruction
NCAA Football 2005,430,8.8,PlayStation 2,"July 15, 2004",https://www.metacritic.com/game/playstation-2/ncaa-football-2005
Way of the Samurai 2,431,8.8,PlayStation 2,"July 7, 2004",https://www.metacritic.com/game/playstation-2/way-of-the-samurai-2
Mega Man Battle Network 4 Red Sun,432,8.8,Game Boy Advance,"June 29, 2004",https://www.metacritic.com/game/game-boy-advance/mega-man-battle-network-4-red-sun
Mario Golf: Advance Tour,433,8.8,Game Boy Advance,"June 22, 2004",https://www.metacritic.com/game/game-boy-advance/mario-golf-advance-tour
Mega Man Anniversary Collection,434,8.8,PlayStation 2,"June 22, 2004",https://www.metacritic.com/game/playstation-2/mega-man-anniversary-collection
Mega Man Anniversary Collection,435,8.8,GameCube,"June 22, 2004",https://www.metacritic.com/game/gamecube/mega-man-anniversary-collection
The Chronicles of Riddick: Escape From Butcher Bay,436,8.8,Xbox,"June 1, 2004",https://www.metacritic.com/game/xbox/the-chronicles-of-riddick-escape-from-butcher-bay
NBA Ballers,437,8.8,PlayStation 2,"April 5, 2004",https://www.metacritic.com/game/playstation-2/nba-ballers
Cy Girls,438,8.8,PlayStation 2,"March 23, 2004",https://www.metacritic.com/game/playstation-2/cy-girls
